"recordTime","hotArr.word","hotArr.word_scheme","hotArr.label_name","hotArr.num","hotArr.category","hotArr.note"
"1673584631831","王俊凯 大家不要抱着戾气生活","王俊凯 大家不要抱着戾气生活","沸",1570274,"艺人","王俊凯 大家不要抱着戾气生活"
,"后期抽了一条烟 才把这十秒的烟给抠掉","后期抽了一条烟 才把这十秒的烟给抠掉","新",1368515,"综艺","后期抽了一条烟 才把这十秒的烟给抠掉"
,"新冠治疗费用报销图解","#新冠治疗费用报销图解#","",1311060,"社会新闻","新冠治疗费用报销图解"
,"成都26岁失联女子申某已找到","#成都26岁失联女子申某已找到#","热",1271285,"社会新闻","成都26岁失联女子申某已找到"
,"李泽言","李泽言","沸",1211925,"游戏","李泽言"
,"邓超儿子等等长得好帅","邓超儿子等等长得好帅","热",1104171,"影视","邓超儿子等等长得好帅"
,"男子煮羊肉爆炸高压锅击穿屋顶","#男子煮羊肉爆炸高压锅击穿屋顶#","新",823818,"社会新闻","男子煮羊肉爆炸高压锅击穿屋顶"
,"沙特球队3亿年薪报价梅西","#沙特球队3亿年薪报价梅西#","新",766120,"体育","沙特球队3亿年薪报价梅西"
,"女生怕父母被质疑重男轻女改名","#女生怕父母被质疑重男轻女改名#","",757290,"社会新闻","女生怕父母被质疑重男轻女改名"
,"秦始皇陵兵马俑甬道被人挖开过","#秦始皇陵兵马俑甬道被人挖开过#","新",679494,"社会新闻","秦始皇陵兵马俑甬道被人挖开过"
,"谢之遥得知许红豆一生挚爱是陈南星","#谢之遥得知许红豆一生挚爱是陈南星#","新",655782,"影视","谢之遥得知许红豆一生挚爱是陈南星"
,"王嘉尔伦敦演唱会怼外媒","#王嘉尔伦敦演唱会怼外媒#","新",643955,"音乐","王嘉尔伦敦演唱会怼外媒"
,"刘威说赵丽颖太爱捡乐了","#刘威说赵丽颖太爱捡乐了#","新",629368,"影视","刘威说赵丽颖太爱捡乐了"
,"iPhone14兔年保护套售价398元","#iPhone14兔年保护套售价398元#","新",584009,"科技","iPhone14兔年保护套售价398元"
,"妈妈为女儿织上百件毛衣价值百万","#妈妈为女儿织上百件毛衣价值百万#","新",583419,"社会新闻","妈妈为女儿织上百件毛衣价值百万"
,"同吃同住双胞胎体重相差19斤","#同吃同住双胞胎体重相差19斤#","",466714,"社会新闻","同吃同住双胞胎体重相差19斤"
,"前任突然加微信要同意吗","#前任突然加微信要同意吗#","热",407712,"情感","前任突然加微信要同意吗"
,"疑似1888万彩礼帖文作者致歉","#疑似1888万彩礼帖文作者致歉#","",358981,"社会新闻","疑似1888万彩礼帖文作者致歉"
,"这辈子他都不敢插队了","#这辈子他都不敢插队了#","",356060,"幽默","这辈子他都不敢插队了"
,"库克2023年薪酬将砍半","#库克2023年薪酬将砍半#","",306444,"科技","库克2023年薪酬将砍半"
,"郑钧刘芸吵架后的状态","#郑钧刘芸吵架后的状态#","",299547,"综艺","郑钧刘芸吵架后的状态"
,"张万森 下雪了","张万森 下雪了","",298586,"影视","张万森 下雪了"
,"王源即将返回伯克利上学","#王源即将返回伯克利上学#","",296781,"艺人","王源即将返回伯克利上学"
,"女子谎称是90后和31岁男子恋爱","#女子谎称是90后和31岁男子恋爱#","",289404,"社会新闻","女子谎称是90后和31岁男子恋爱"
,"苹果正开发iPhone16Pro","#苹果正开发iPhone16Pro#","新",219932,"科技","苹果正开发iPhone16Pro"
,"张同学回应热度消退","#张同学回应热度消退#","新",218974,"网红","张同学回应热度消退"
,"学古筝和不学古筝的都沉默了","#学古筝和不学古筝的都沉默了#","",217194,"幽默","学古筝和不学古筝的都沉默了"
,"PDD鹅鸭杀皮肤","#PDD鹅鸭杀皮肤#","",203384,"游戏","PDD鹅鸭杀皮肤"
,"腰背不舒服别像这样乱拉伸","#腰背不舒服别像这样乱拉伸#","新",188973,"体育","腰背不舒服别像这样乱拉伸"
,"苹果汽车或售价9万美元","#苹果汽车或售价9万美元#","",175437,"科技","苹果汽车或售价9万美元"
,"猫王独生女去世","#猫王独生女去世#","新",175419,"艺人","猫王独生女去世"
,"刘宪华回应近年来曝光少的原因","#刘宪华回应近年来曝光少的原因#","新",175333,"作品衍生","刘宪华回应近年来曝光少的原因"
,"央视网络春晚第二波阵容官宣","#央视网络春晚第二波阵容官宣#","",175243,"综艺","央视网络春晚第二波阵容官宣"
,"日本决定核废水2023春夏排入海","#日本决定核废水2023春夏排入海#","新",175132,"社会新闻","日本决定核废水2023春夏排入海"
,"日政府无视当地民众反对开建不沉航母","#日政府无视当地民众反对开建不沉航母#","",175076,"军事","日政府无视当地民众反对开建不沉航母"
,"苏醒开场后收门票费","#苏醒开场后收门票费#","新",174881,"综艺","苏醒开场后收门票费"
,"城市猫咪回村血脉觉醒开始抓老鼠","#城市猫咪回村血脉觉醒开始抓老鼠#","新",174682,"社会新闻","城市猫咪回村血脉觉醒开始抓老鼠"
,"江苏省考成绩","江苏省考成绩","新",173086,"教育","江苏省考成绩"
,"这是狗犯错后该有的样子吗","#这是狗犯错后该有的样子吗#","新",163940,"幽默","这是狗犯错后该有的样子吗"
,"像极了放假前的工作状态","#像极了放假前的工作状态#","新",161965,"幽默","像极了放假前的工作状态"
,"谢之遥父子一物降一物","#谢之遥父子一物降一物#","新",161802,"影视","谢之遥父子一物降一物"
,"神器传说之武则天皮肤","#神器传说之武则天皮肤#","",160105,"游戏","神器传说之武则天皮肤"
,"佛跳墙成北方年夜饭新宠","#佛跳墙成北方年夜饭新宠#","新",155002,"美食,社会新闻","佛跳墙成北方年夜饭新宠"
,"军人结婚当天收到立功喜报","#军人结婚当天收到立功喜报#","",150216,"军事,社会新闻","军人结婚当天收到立功喜报"
,"父母为省钱未做四维生下连体双胞胎","#父母为省钱未做四维生下连体双胞胎#","新",148047,"社会新闻","父母为省钱未做四维生下连体双胞胎"
,"兔宝宝8天5个涨停板","#兔宝宝8天5个涨停板#","新",145091,"财经","兔宝宝8天5个涨停板"
,"炫到停不下来的小说","#炫到停不下来的小说#","新",134349,"情感","炫到停不下来的小说"
,"乖乖趴在奶奶肩上的小奶狗","#乖乖趴在奶奶肩上的小奶狗#","新",125614,"情感","乖乖趴在奶奶肩上的小奶狗"
,"这确实是把穿搭玩明白了","#这确实是把穿搭玩明白了#","",121066,"时尚,幽默","这确实是把穿搭玩明白了"
,"独行侠vs湖人","#独行侠vs湖人#","新",119987,"体育","独行侠vs湖人"
"1673588023371","后期抽了一条烟 才把这十秒的烟给抠掉","后期抽了一条烟 才把这十秒的烟给抠掉","热",2609448,"综艺","后期抽了一条烟 才把这十秒的烟给抠掉"
,"知乎永久封禁1888万彩礼作者帐号","#知乎永久封禁1888万彩礼作者帐号#","新",2044186,"社会新闻,科技","知乎永久封禁1888万彩礼作者帐号"
,"新冠治疗费用报销图解","#新冠治疗费用报销图解#","",1933364,"社会新闻","新冠治疗费用报销图解"
,"日本决定核废水2023春夏排入海","#日本决定核废水2023春夏排入海#","新",1933278,"社会新闻","日本决定核废水2023春夏排入海"
,"刘宪华回应近年来曝光少的原因","#刘宪华回应近年来曝光少的原因#","新",1079853,"作品衍生","刘宪华回应近年来曝光少的原因"
,"王俊凯 大家不要抱着戾气生活","王俊凯 大家不要抱着戾气生活","沸",803086,"艺人","王俊凯 大家不要抱着戾气生活"
,"男子煮羊肉爆炸高压锅击穿屋顶","#男子煮羊肉爆炸高压锅击穿屋顶#","",765419,"社会新闻","男子煮羊肉爆炸高压锅击穿屋顶"
,"成都26岁失联女子申某已找到","#成都26岁失联女子申某已找到#","",762558,"社会新闻","成都26岁失联女子申某已找到"
,"李泽言","李泽言","沸",586218,"游戏","李泽言"
,"沙特球队3亿年薪报价梅西","#沙特球队3亿年薪报价梅西#","",563138,"体育","沙特球队3亿年薪报价梅西"
,"父母为省钱未做四维生下连体双胞胎","#父母为省钱未做四维生下连体双胞胎#","新",549590,"社会新闻","父母为省钱未做四维生下连体双胞胎"
,"陈佩斯母亲感染新冠去世","#陈佩斯母亲感染新冠去世#","新",525695,"艺人","陈佩斯母亲感染新冠去世"
,"邓超儿子等等长得好帅","邓超儿子等等长得好帅","热",516633,"影视","邓超儿子等等长得好帅"
,"严浩翔tangoZ合作视频","#严浩翔tangoZ合作视频#","新",486892,"艺人","严浩翔tangoZ合作视频"
,"原神 魈PV","#原神 魈PV#","",474012,"游戏","原神 魈PV"
,"妈妈为女儿织上百件毛衣价值百万","#妈妈为女儿织上百件毛衣价值百万#","",464538,"社会新闻","妈妈为女儿织上百件毛衣价值百万"
,"秦始皇陵兵马俑甬道被人挖开过","#秦始皇陵兵马俑甬道被人挖开过#","",401849,"社会新闻","秦始皇陵兵马俑甬道被人挖开过"
,"iPhone14兔年保护套售价398元","#iPhone14兔年保护套售价398元#","",355867,"科技","iPhone14兔年保护套售价398元"
,"女生怕父母被质疑重男轻女改名","#女生怕父母被质疑重男轻女改名#","",345804,"社会新闻","女生怕父母被质疑重男轻女改名"
,"同吃同住双胞胎体重相差19斤","#同吃同住双胞胎体重相差19斤#","",301205,"社会新闻","同吃同住双胞胎体重相差19斤"
,"魏大勋大侦探唱功开大了","#魏大勋大侦探唱功开大了#","新",297635,"综艺","魏大勋大侦探唱功开大了"
,"谢之遥得知许红豆一生挚爱是陈南星","#谢之遥得知许红豆一生挚爱是陈南星#","",292462,"影视","谢之遥得知许红豆一生挚爱是陈南星"
,"猫王独生女去世","#猫王独生女去世#","新",286117,"艺人","猫王独生女去世"
,"王嘉尔伦敦演唱会怼外媒","#王嘉尔伦敦演唱会怼外媒#","",284048,"音乐","王嘉尔伦敦演唱会怼外媒"
