"recordTime","hotArr.word","hotArr.word_scheme","hotArr.label_name","hotArr.num","hotArr.category","hotArr.note"
"1673847523480","大陆输台螺蛳粉包装现你是中国人","#大陆输台螺蛳粉包装现你是中国人#","新",1760832,"社会新闻","大陆输台螺蛳粉包装现你是中国人"
,"想周涛董卿朱迅","想周涛董卿朱迅","新",1208667,"综艺","想周涛董卿朱迅"
,"脆弱人群感染后要警惕这些情况","#脆弱人群感染后要警惕这些情况#","",1040440,"社会新闻","脆弱人群感染后要警惕这些情况"
,"王鹤棣首部电影定档","#王鹤棣首部电影定档#","新",873413,"影视","王鹤棣首部电影定档"
,"春晚主持人 龙洋","春晚主持人 龙洋","新",778070,"综艺","春晚主持人 龙洋"
,"N95口罩血氧仪价格大跳水","#N95口罩血氧仪价格大跳水#","热",648734,"社会新闻,财经","N95口罩血氧仪价格大跳水"
,"高铁G61为她紧急临停3分钟","#高铁G61为她紧急临停3分钟#","",614972,"社会新闻","高铁G61为她紧急临停3分钟"
,"美国女子刺伤亚裔称以为是中国人","#美国女子刺伤亚裔称以为是中国人#","",587275,"社会新闻","美国女子刺伤亚裔称以为是中国人"
,"丈夫称老家有别墅妻子看后大呼上当","#丈夫称老家有别墅妻子看后大呼上当#","",510649,"社会新闻","丈夫称老家有别墅妻子看后大呼上当"
,"去年腾讯100余人因触犯高压线被辞退","#去年腾讯100余人因触犯高压线被辞退#","",508406,"社会新闻,科技","去年腾讯100余人因触犯高压线被辞退"
,"张颖颖 我说了无数次分手","张颖颖 我说了无数次分手","新",499380,"艺人","张颖颖 我说了无数次分手"
,"刘大锤曝的喜剧演员是大鹏","#刘大锤曝的喜剧演员是大鹏#","新",488098,"艺人","刘大锤曝的喜剧演员是大鹏"
,"杨幂赵丽颖封面手套造型","#杨幂赵丽颖封面手套造型#","新",483274,"作品衍生","杨幂赵丽颖封面手套造型"
,"福兔","福兔","新",474956,"科技","福兔"
,"梅西踢后腰","#梅西踢后腰#","",388613,"体育","梅西踢后腰"
,"男子首次带女友回家全家拿红包门口迎接","#男子首次带女友回家全家拿红包门口迎接#","新",382003,"社会新闻","男子首次带女友回家全家拿红包门口迎接"
,"姐姐胳膊被机器压烂弟弟放声痛哭","#姐姐胳膊被机器压烂弟弟放声痛哭#","新",373097,"社会新闻","姐姐胳膊被机器压烂弟弟放声痛哭"
,"尼泊尔客机副驾因丈夫坠机接力飞行梦","#尼泊尔客机副驾因丈夫坠机接力飞行梦#","",315893,"国外要闻","尼泊尔客机副驾因丈夫坠机接力飞行梦"
,"车厘子自由为什么这么难","#车厘子自由为什么这么难#","",315087,"社会新闻","车厘子自由为什么这么难"
,"黑神话悟空发售时间公开","#黑神话悟空发售时间公开#","",262037,"游戏","黑神话悟空发售时间公开"
,"周杰伦演唱会回应负评","#周杰伦演唱会回应负评#","",261685,"音乐","周杰伦演唱会回应负评"
,"春晚主持人首次迎来双90后","#春晚主持人首次迎来双90后#","",261136,"综艺","春晚主持人首次迎来双90后"
,"王嘉宁 春晚主持","王嘉宁 春晚主持","",260888,"综艺","王嘉宁 春晚主持"
,"马化腾称内部贪腐触目惊心","#马化腾称内部贪腐触目惊心#","新",260120,"科技,社会新闻","马化腾称内部贪腐触目惊心"
,"游客滑雪失控致女生被撞倒后抽搐","#游客滑雪失控致女生被撞倒后抽搐#","",249010,"社会新闻","游客滑雪失控致女生被撞倒后抽搐"
,"尼泊尔客机坠毁机舱内画面曝光","#尼泊尔客机坠毁机舱内画面曝光#","",248095,"国外要闻","尼泊尔客机坠毁机舱内画面曝光"
,"这猫怎么比狗还狗","#这猫怎么比狗还狗#","新",246496,"幽默","这猫怎么比狗还狗"
,"本命年的兔子有多嚣张","#本命年的兔子有多嚣张#","",246043,"幽默","本命年的兔子有多嚣张"
,"尼泊尔失事客机上72人全部遇难","#尼泊尔失事客机上72人全部遇难#","",243805,"国外要闻","尼泊尔失事客机上72人全部遇难"
,"消息人士称普京不参与明年俄大选","#消息人士称普京不参与明年俄大选#","",243372,"国外要闻","消息人士称普京不参与明年俄大选"
,"丁程鑫台下拥抱何炅","#丁程鑫台下拥抱何炅#","新",241551,"综艺","丁程鑫台下拥抱何炅"
,"马凡舒再次担任春晚主持人","#马凡舒再次担任春晚主持人#","",239575,"综艺","马凡舒再次担任春晚主持人"
,"孙怡零下二十度打工人穿搭","#孙怡零下二十度打工人穿搭#","新",239081,"艺人","孙怡零下二十度打工人穿搭"
,"这只上春晚的兔子也太可爱了","#这只上春晚的兔子也太可爱了#","新",237758,"综艺,情感","这只上春晚的兔子也太可爱了"
,"满江红易烊千玺演沈腾的舅舅","#满江红易烊千玺演沈腾的舅舅#","",237018,"影视","满江红易烊千玺演沈腾的舅舅"
,"郑钦文连赢11局","#郑钦文连赢11局#","新",236796,"体育","郑钦文连赢11局"
,"詹姆斯38000分里程碑","#詹姆斯38000分里程碑#","",236350,"体育","詹姆斯38000分里程碑"
,"Cat 转会","Cat 转会","",235990,"游戏","Cat 转会"
,"新一批大国重器亮相直播间","#新一批大国重器亮相直播间#","新",235632,"军事,科技","新一批大国重器亮相直播间"
,"00后和父母买年货的代沟","#00后和父母买年货的代沟#","",235195,"幽默,情感","00后和父母买年货的代沟"
,"辛芷蕾晒反差感随拍","#辛芷蕾晒反差感随拍#","新",235106,"艺人","辛芷蕾晒反差感随拍"
,"梅西离开后巴萨首次夺冠","#梅西离开后巴萨首次夺冠#","",235024,"体育","梅西离开后巴萨首次夺冠"
,"以为染发后会是氛围感美女","#以为染发后会是氛围感美女#","",234064,"幽默","以为染发后会是氛围感美女"
,"勿信新冠不是大号流感而是小号艾滋","#勿信新冠不是大号流感而是小号艾滋#","",233651,"社会新闻","勿信新冠不是大号流感而是小号艾滋"
,"威少最后一攻","#威少最后一攻#","新",232314,"体育","威少最后一攻"
,"第一次看到下雪的猫咪","#第一次看到下雪的猫咪#","",231747,"幽默","第一次看到下雪的猫咪"
,"76人双杀湖人","#76人双杀湖人#","新",231300,"体育","76人双杀湖人"
,"76人vs湖人","#76人vs湖人#","",230750,"体育","76人vs湖人"
,"爸爸比孩子玩的开心","#爸爸比孩子玩的开心#","新",229575,"幽默","爸爸比孩子玩的开心"
,"喝水间隔时间不要超过两小时","#喝水间隔时间不要超过两小时#","",229027,"社会新闻","喝水间隔时间不要超过两小时"
"1673849323843","张萌获刑三年","#张萌获刑三年#","新",4003265,"社会新闻,影视","张萌获刑三年"
,"大陆输台螺蛳粉包装现你是中国人","#大陆输台螺蛳粉包装现你是中国人#","新",1665473,"社会新闻","大陆输台螺蛳粉包装现你是中国人"
,"脆弱人群感染后要警惕这些情况","#脆弱人群感染后要警惕这些情况#","",1241954,"社会新闻","脆弱人群感染后要警惕这些情况"
,"易烊千玺说外甥大了不由舅难办","#易烊千玺说外甥大了不由舅难办#","新",1069203,"影视","易烊千玺说外甥大了不由舅难办"
,"杨幂赵丽颖封面手套造型","#杨幂赵丽颖封面手套造型#","新",805242,"作品衍生","杨幂赵丽颖封面手套造型"
,"马化腾称内部贪腐触目惊心","#马化腾称内部贪腐触目惊心#","新",559177,"科技,社会新闻","马化腾称内部贪腐触目惊心"
,"N95口罩血氧仪价格大跳水","#N95口罩血氧仪价格大跳水#","热",527183,"社会新闻,财经","N95口罩血氧仪价格大跳水"
,"高铁G61为她紧急临停3分钟","#高铁G61为她紧急临停3分钟#","",491303,"社会新闻","高铁G61为她紧急临停3分钟"
,"丈夫称老家有别墅妻子看后大呼上当","#丈夫称老家有别墅妻子看后大呼上当#","",437051,"社会新闻","丈夫称老家有别墅妻子看后大呼上当"
