"recordTime","hotArr.word","hotArr.word_scheme","hotArr.label_name","hotArr.num","hotArr.category","hotArr.note"
"1675293757956","张颂文 我永远难忘这个春节","张颂文 我永远难忘这个春节","沸",1261791,"影视","张颂文 我永远难忘这个春节"
,"大润发回应女员工因照顾病危父亲请假遭开除","#大润发回应女员工因照顾病危父亲请假遭开除#","",925824,"社会新闻","大润发回应女员工因照顾病危父亲请假遭开除"
,"春天的脚步越来越近了","#春天的脚步越来越近了#","",713134,"社会新闻","春天的脚步越来越近了"
,"男子7楼打开门却是13楼邻居家","#男子7楼打开门却是13楼邻居家#","",671043,"社会新闻","男子7楼打开门却是13楼邻居家"
,"安欣再送饺子 高启强再举杯","#安欣再送饺子 高启强再举杯#","沸",580062,"影视","安欣再送饺子 高启强再举杯"
,"狂飙全员发博告别角色","#狂飙全员发博告别角色#","沸",540777,"影视","狂飙全员发博告别角色"
,"丈夫出轨提离婚分家产妻子霸气回怼","#丈夫出轨提离婚分家产妻子霸气回怼#","",481815,"社会新闻","丈夫出轨提离婚分家产妻子霸气回怼"
,"狂飙最大保护伞","#狂飙最大保护伞#","",417165,"影视","狂飙最大保护伞"
,"90后丁克夫妻被双方父母轮番催生","#90后丁克夫妻被双方父母轮番催生#","",395103,"社会新闻","90后丁克夫妻被双方父母轮番催生"
,"2022年全国城市GDP十强全部出炉","#2022年全国城市GDP十强全部出炉#","新",266045,"财经,社会新闻","2022年全国城市GDP十强全部出炉"
,"张颂文 演技封神","张颂文 演技封神","",238228,"影视","张颂文 演技封神"
,"阻止男童进女厕当事人称希望对方道歉","#阻止男童进女厕当事人称希望对方道歉#","",217728,"社会新闻","阻止男童进女厕当事人称希望对方道歉"
,"胡鑫宇事件最新情况","#胡鑫宇事件最新情况#","",216911,"社会新闻","胡鑫宇事件最新情况"
,"边牧吃醋将主人养了5年金毛拐跑","#边牧吃醋将主人养了5年金毛拐跑#","",213138,"社会新闻","边牧吃醋将主人养了5年金毛拐跑"
,"高晓晨车祸怎么一点事都没有","高晓晨车祸怎么一点事都没有","",210468,"影视","高晓晨车祸怎么一点事都没有"
,"特朗普受讯视频曝光","#特朗普受讯视频曝光#","",196215,"国外要闻","特朗普受讯视频曝光"
,"女子到男友舅舅家拜年盗走5万元","#女子到男友舅舅家拜年盗走5万元#","",194265,"社会新闻","女子到男友舅舅家拜年盗走5万元"
,"大嫂怎么死的","#大嫂怎么死的#","",158104,"影视","大嫂怎么死的"
,"女子花100万在农村建120平3层房","#女子花100万在农村建120平3层房#","",148348,"社会新闻","女子花100万在农村建120平3层房"
,"狂飙大结局","#狂飙大结局#","",142978,"影视","狂飙大结局"
,"大张伟当着王鸥的面喊杨幂","#大张伟当着王鸥的面喊杨幂#","热",131822,"综艺","大张伟当着王鸥的面喊杨幂"
,"高叶也不知道大嫂怎么死的","#高叶也不知道大嫂怎么死的#","",124470,"影视","高叶也不知道大嫂怎么死的"
,"6岁萌娃耍大蛇奶凶奶凶跳英歌舞","#6岁萌娃耍大蛇奶凶奶凶跳英歌舞#","新",122736,"社会新闻","6岁萌娃耍大蛇奶凶奶凶跳英歌舞"
,"安欣 小五","#安欣 小五#","",121316,"影视","安欣 小五"
,"主人推门发现6只布偶猫挂在墙上","#主人推门发现6只布偶猫挂在墙上#","",120188,"社会新闻","主人推门发现6只布偶猫挂在墙上"
,"庄达菲张艺凡挽手路透","#庄达菲张艺凡挽手路透#","新",113699,"综艺","庄达菲张艺凡挽手路透"
,"王一博演热烈是街舞工作者集体推荐","#王一博演热烈是街舞工作者集体推荐#","",106238,"影视","王一博演热烈是街舞工作者集体推荐"
,"狂飙导演回应吃肠粉不加酱油","#狂飙导演回应吃肠粉不加酱油#","",101997,"影视","狂飙导演回应吃肠粉不加酱油"
,"刘宇宁折腰喉结鲨路透视频","#刘宇宁折腰喉结鲨路透视频#","新",95121,"影视","刘宇宁折腰喉结鲨路透视频"
,"程耳王一博半夜去看无名","#程耳王一博半夜去看无名#","",89425,"影视","程耳王一博半夜去看无名"
