"recordTime","hotArr.word","hotArr.word_scheme","hotArr.label_name","hotArr.num","hotArr.category","hotArr.note"
"1673307079077","保洁夹断猫腿与宠主就赔偿争执","#保洁夹断猫腿与宠主就赔偿争执#","",630033,"社会新闻","保洁夹断猫腿与宠主就赔偿争执"
,"贝尔宣布退役","#贝尔宣布退役#","沸",602471,"体育,社会新闻","贝尔宣布退役"
,"当前疫情最新热点十问十答","#当前疫情最新热点十问十答#","",436661,"社会新闻","当前疫情最新热点十问十答"
,"集五福","#集五福#","新",427270,"情感","集五福"
,"女孩博士毕业不社交遭妈妈吐槽","#女孩博士毕业不社交遭妈妈吐槽#","",324034,"社会新闻","女孩博士毕业不社交遭妈妈吐槽"
,"太快确定关系真的不会长久吗","#太快确定关系真的不会长久吗#","",271800,"情感","太快确定关系真的不会长久吗"
,"护士发烧晕倒同事用椅子推着就医","#护士发烧晕倒同事用椅子推着就医#","",237611,"社会新闻","护士发烧晕倒同事用椅子推着就医"
,"他将同学聚会变成权钱交易所","#他将同学聚会变成权钱交易所#","",191348,"社会新闻","他将同学聚会变成权钱交易所"
,"如何评价惠英红穿婚纱喊话水兵","#如何评价惠英红穿婚纱喊话水兵#","",180872,"艺人","如何评价惠英红穿婚纱喊话水兵"
,"1家8口到三亚过年嫌房租贵直接买房","#1家8口到三亚过年嫌房租贵直接买房#","热",180441,"社会新闻,旅游","1家8口到三亚过年嫌房租贵直接买房"
,"黄锐自曝每月还欠款二十万","#黄锐自曝每月还欠款二十万#","",180197,"艺人","黄锐自曝每月还欠款二十万"
,"1亿元阿兹夫定捐给中西部农村","#1亿元阿兹夫定捐给中西部农村#","",179927,"社会新闻","1亿元阿兹夫定捐给中西部农村"
,"贪官买房让商人出钱自己高价卖出","#贪官买房让商人出钱自己高价卖出#","",168549,"社会新闻","贪官买房让商人出钱自己高价卖出"
,"奥密克戎毒株肺炎发生率比德尔塔小","#奥密克戎毒株肺炎发生率比德尔塔小#","",168424,"社会新闻","奥密克戎毒株肺炎发生率比德尔塔小"
,"第一次被机场耍大牌爽到","#第一次被机场耍大牌爽到#","",166332,"综艺","第一次被机场耍大牌爽到"
,"110警察节","#110警察节#","新",159227,"社会新闻","110警察节"
,"赵丽颖说情侣之间不能送水果梨","#赵丽颖说情侣之间不能送水果梨#","",155815,"艺人","赵丽颖说情侣之间不能送水果梨"
,"苍兰诀 投票","苍兰诀 投票","",146630,"影视","苍兰诀 投票"
,"塞尔达传说或将改编动画电影","#塞尔达传说或将改编动画电影#","新",143091,"游戏,影视","塞尔达传说或将改编动画电影"
,"小伙花280元从上海坐公交到北京","#小伙花280元从上海坐公交到北京#","",135925,"社会新闻","小伙花280元从上海坐公交到北京"
,"刘诗诗刘宇宁与一念关山工作人员合影","#刘诗诗刘宇宁与一念关山工作人员合影#","新",135595,"作品衍生","刘诗诗刘宇宁与一念关山工作人员合影"
,"山东又要变成山冻","#山东又要变成山冻#","新",131305,"社会新闻","山东又要变成山冻"
,"苹果耳机盒子不要丢","#苹果耳机盒子不要丢#","",131053,"科技","苹果耳机盒子不要丢"
,"谢之遥没提挽留但处处在挽留","#谢之遥没提挽留但处处在挽留#","",123897,"影视","谢之遥没提挽留但处处在挽留"
,"欠北方的雪可能要还了","#欠北方的雪可能要还了#","",117853,"社会新闻","欠北方的雪可能要还了"
,"用一首歌感受人民警察的坚守和不易","#用一首歌感受人民警察的坚守和不易#","新",116230,"社会新闻","用一首歌感受人民警察的坚守和不易"
,"见义勇为受伤的南京胖哥举办婚礼","#见义勇为受伤的南京胖哥举办婚礼#","",114318,"社会新闻","见义勇为受伤的南京胖哥举办婚礼"
,"王鹤棣虞书欣苍兰诀入围年度全端最佳剧集","#王鹤棣虞书欣苍兰诀入围年度全端最佳剧集#","新",104987,"影视","王鹤棣虞书欣苍兰诀入围年度全端最佳剧集"
,"狗狗从城市回老家两天狂炫5锅饭","#狗狗从城市回老家两天狂炫5锅饭#","",93139,"社会新闻","狗狗从城市回老家两天狂炫5锅饭"
,"医美的尽头到底是什么","#医美的尽头到底是什么#","",93032,"情感","医美的尽头到底是什么"
,"中国网友偶遇侃爷","#中国网友偶遇侃爷#","",90508,"艺人","中国网友偶遇侃爷"
,"依川川","依川川","",89124,"网红","依川川"
,"奥密克戎毒株致病性明显下降","#奥密克戎毒株致病性明显下降#","",86432,"社会新闻","奥密克戎毒株致病性明显下降"
,"网红假装在国外","#网红假装在国外#","",85554,"情感","网红假装在国外"
,"洗完澡像换了一只狗狗","#洗完澡像换了一只狗狗#","",82078,"幽默","洗完澡像换了一只狗狗"
,"第一次压轿的人类幼崽","#第一次压轿的人类幼崽#","",81027,"幽默","第一次压轿的人类幼崽"
,"蔡依林演唱会造型","蔡依林演唱会造型","",80979,"音乐","蔡依林演唱会造型"
,"一句你不敢发在朋友圈的话","#一句你不敢发在朋友圈的话#","",79172,"情感","一句你不敢发在朋友圈的话"
,"你家12月电费多少钱","#你家12月电费多少钱#","",76392,"情感","你家12月电费多少钱"
,"去有风的地方不够看","#去有风的地方不够看#","",70004,"影视","去有风的地方不够看"
,"演员李嘉明指责电视收费乱象","#演员李嘉明指责电视收费乱象#","",68851,"社会新闻,艺人","演员李嘉明指责电视收费乱象"
,"地质队是神级全能选手吧","#地质队是神级全能选手吧#","新",65683,"社会新闻","地质队是神级全能选手吧"
,"杜华为王一博长空之王打call","#杜华为王一博长空之王打call#","",63374,"影视","杜华为王一博长空之王打call"
,"被坐着睡觉的猫咪可爱到了","#被坐着睡觉的猫咪可爱到了#","",61734,"幽默","被坐着睡觉的猫咪可爱到了"
,"女子10年前买1.8万钻戒如今值180元","#女子10年前买1.8万钻戒如今值180元#","",59454,"社会新闻","女子10年前买1.8万钻戒如今值180元"
,"这好大喜功的地方官用近7亿建公园","#这好大喜功的地方官用近7亿建公园#","",53774,"社会新闻","这好大喜功的地方官用近7亿建公园"
,"原来妈妈才是恋爱高手","#原来妈妈才是恋爱高手#","",51447,"情感","原来妈妈才是恋爱高手"
,"人民币升破6.8","#人民币升破6.8#","",43899,"财经","人民币升破6.8"
,"一个舍得买一个舍不得要","#一个舍得买一个舍不得要#","新",41481,"情感","一个舍得买一个舍不得要"
,"15岁狗去世前不吃饭默默躲进树林","#15岁狗去世前不吃饭默默躲进树林#","",39716,"社会新闻","15岁狗去世前不吃饭默默躲进树林"
"1673318910071","网红依川川因病去世","#网红依川川因病去世#","新",3089768,"动漫,网红","网红依川川因病去世"
,"高拉特确认放弃中国国籍","#高拉特确认放弃中国国籍#","新",1392431,"体育","高拉特确认放弃中国国籍"
,"当前疫情最新热点十问十答","#当前疫情最新热点十问十答#","",1208383,"社会新闻","当前疫情最新热点十问十答"
,"女子顺丰寄4万手表疑被调包仅赔百元","#女子顺丰寄4万手表疑被调包仅赔百元#","热",1150977,"社会新闻","女子顺丰寄4万手表疑被调包仅赔百元"
,"开年第一部烂尾剧","#开年第一部烂尾剧#","热",894964,"影视","开年第一部烂尾剧"
,"3人围炉烤红薯6小时后中毒晕倒","#3人围炉烤红薯6小时后中毒晕倒#","新",790117,"社会新闻","3人围炉烤红薯6小时后中毒晕倒"
,"步步惊心BGM是大中国","#步步惊心BGM是大中国#","新",618790,"影视","步步惊心BGM是大中国"
,"人社部部长谈2023毕业生就业","#人社部部长谈2023毕业生就业#","新",400245,"教育","人社部部长谈2023毕业生就业"
,"一私募员工捐款1.38亿","#一私募员工捐款1.38亿#","",349556,"财经,社会新闻","一私募员工捐款1.38亿"
,"一个舍得买一个舍不得要","#一个舍得买一个舍不得要#","",330272,"情感","一个舍得买一个舍不得要"
,"王小蒙在甄嬛传也是大女主","#王小蒙在甄嬛传也是大女主#","新",329811,"影视","王小蒙在甄嬛传也是大女主"
,"男孩得知父亲想生三胎怒怼父亲","#男孩得知父亲想生三胎怒怼父亲#","热",327215,"社会新闻","男孩得知父亲想生三胎怒怼父亲"
,"姚安娜新剧台词","#姚安娜新剧台词#","",323627,"影视","姚安娜新剧台词"
,"武大靖说能把照片颜色调一下吗害怕","#武大靖说能把照片颜色调一下吗害怕#","",319607,"体育,艺人","武大靖说能把照片颜色调一下吗害怕"
,"许红豆坐在谢之遥的副驾","#许红豆坐在谢之遥的副驾#","新",316877,"影视","许红豆坐在谢之遥的副驾"
,"年前或将迎来退租潮","#年前或将迎来退租潮#","新",316538,"财经,社会新闻","年前或将迎来退租潮"
,"东部战区用最温柔的语气说最硬气的话","#东部战区用最温柔的语气说最硬气的话#","新",301331,"社会新闻","东部战区用最温柔的语气说最硬气的话"
,"同居四天后分手男子要求返还彩礼","#同居四天后分手男子要求返还彩礼#","热",299711,"社会新闻","同居四天后分手男子要求返还彩礼"
,"小伙买世界最亮手电筒打开亮度惊人","#小伙买世界最亮手电筒打开亮度惊人#","",276555,"社会新闻","小伙买世界最亮手电筒打开亮度惊人"
,"福字","福字","",259901,"科技,情感","福字"
,"刘宇宁的紫色秋衣是黄子韬那买的吗","#刘宇宁的紫色秋衣是黄子韬那买的吗#","新",256753,"艺人,幽默","刘宇宁的紫色秋衣是黄子韬那买的吗"
,"金泰妍Wendy金玟庭预告照","#金泰妍Wendy金玟庭预告照#","新",254577,"艺人","金泰妍Wendy金玟庭预告照"
,"我国有多少种警察","#我国有多少种警察#","新",251913,"社会新闻","我国有多少种警察"
,"辉瑞称正与中国伙伴合作","#辉瑞称正与中国伙伴合作#","新",239989,"社会新闻","辉瑞称正与中国伙伴合作"
,"北京的疫情已过感染高峰期","#北京的疫情已过感染高峰期#","新",208617,"社会新闻","北京的疫情已过感染高峰期"
,"黄锐自曝每月还欠款二十万","#黄锐自曝每月还欠款二十万#","",202514,"艺人","黄锐自曝每月还欠款二十万"
,"Windows7将彻底退出历史舞台","#Windows7将彻底退出历史舞台#","",166898,"科技","Windows7将彻底退出历史舞台"
,"女孩博士毕业不社交遭妈妈吐槽","#女孩博士毕业不社交遭妈妈吐槽#","",165716,"社会新闻","女孩博士毕业不社交遭妈妈吐槽"
,"远嫁女儿隔四年回家爸妈喜极而泣","#远嫁女儿隔四年回家爸妈喜极而泣#","新",160183,"社会新闻","远嫁女儿隔四年回家爸妈喜极而泣"
,"保洁夹断猫腿与宠主就赔偿争执","#保洁夹断猫腿与宠主就赔偿争执#","",153973,"社会新闻","保洁夹断猫腿与宠主就赔偿争执"
