"recordTime","hotArr.word","hotArr.word_scheme","hotArr.label_name","hotArr.num","hotArr.category","hotArr.note"
"1675048966759","张公案","张公案","新",4539094,"影视","张公案"
,"大V称满江红制作成本不会超过一千万","#大V称满江红制作成本不会超过一千万#","沸",1397337,"影视","大V称满江红制作成本不会超过一千万"
,"多地发力拼经济新春开门稳","#多地发力拼经济新春开门稳#","新",1384859,"社会新闻","多地发力拼经济新春开门稳"
,"井柏然宋威龙张公案改名君子盟空降","#井柏然宋威龙张公案改名君子盟空降#","新",1384459,"影视","井柏然宋威龙张公案改名君子盟空降"
,"胡鑫宇遗体所处区域有明显搜索痕迹","#胡鑫宇遗体所处区域有明显搜索痕迹#","新",1384045,"社会新闻","胡鑫宇遗体所处区域有明显搜索痕迹"
,"为什么年后会是离婚高发期","#为什么年后会是离婚高发期#","新",1154806,"情感","为什么年后会是离婚高发期"
,"成龙新片两个徒弟是郭麒麟和马","#成龙新片两个徒弟是郭麒麟和马#","新",989774,"影视","成龙新片两个徒弟是郭麒麟和马"
,"妹妹把哥哥的寒假作业写完了","#妹妹把哥哥的寒假作业写完了#","新",945994,"社会新闻","妹妹把哥哥的寒假作业写完了"
,"航拍胡鑫宇遗体发现地全貌","#航拍胡鑫宇遗体发现地全貌#","新",930142,"社会新闻","航拍胡鑫宇遗体发现地全貌"
,"小陆说不了话了","#小陆说不了话了#","新",740335,"影视","小陆说不了话了"
,"民政局开工离婚队伍排到门外","#民政局开工离婚队伍排到门外#","热",707919,"社会新闻","民政局开工离婚队伍排到门外"
,"网剧飞驰人生全阵容官宣","#网剧飞驰人生全阵容官宣#","新",642368,"影视","网剧飞驰人生全阵容官宣"
,"殡仪馆称胡鑫宇已不是原来样貌","#殡仪馆称胡鑫宇已不是原来样貌#","热",584532,"社会新闻","殡仪馆称胡鑫宇已不是原来样貌"
,"夫妻过年捡烟花纸壳7天捡5000斤","#夫妻过年捡烟花纸壳7天捡5000斤#","新",568106,"社会新闻","夫妻过年捡烟花纸壳7天捡5000斤"
,"被起诉大V称未收到满江红起诉函","#被起诉大V称未收到满江红起诉函#","",561749,"影视","被起诉大V称未收到满江红起诉函"
,"李昌钰辟谣网传胡鑫宇案论断","#李昌钰辟谣网传胡鑫宇案论断#","新",557091,"社会新闻","李昌钰辟谣网传胡鑫宇案论断"
,"光线传媒股价暴跌","#光线传媒股价暴跌#","新",538183,"财经,影视","光线传媒股价暴跌"
,"NBA裁判道歉","#NBA裁判道歉#","新",451415,"体育","NBA裁判道歉"
,"胡鑫宇遗体发现地与其学校仅一墙之隔","#胡鑫宇遗体发现地与其学校仅一墙之隔#","热",444707,"社会新闻","胡鑫宇遗体发现地与其学校仅一墙之隔"
,"狂飙","狂飙","",433119,"影视","狂飙"
,"你觉得毕业生多少起薪合适","#你觉得毕业生多少起薪合适#","新",406165,"情感,教育","你觉得毕业生多少起薪合适"
,"三成离婚与一方沉迷手机有关","#三成离婚与一方沉迷手机有关#","",396277,"社会新闻,科技","三成离婚与一方沉迷手机有关"
,"29岁的张译28岁的沈腾","#29岁的张译28岁的沈腾#","热",378450,"影视","29岁的张译28岁的沈腾"
,"才知道吃辣流鼻涕是一种病","#才知道吃辣流鼻涕是一种病#","",364498,"情感","才知道吃辣流鼻涕是一种病"
,"狂飙安欣不是虚构的","#狂飙安欣不是虚构的#","",362272,"影视","狂飙安欣不是虚构的"
,"女子吐槽小城市电影票价远超北上广","#女子吐槽小城市电影票价远超北上广#","",352862,"社会新闻","女子吐槽小城市电影票价远超北上广"
,"满江红背后谁是最大赢家","#满江红背后谁是最大赢家#","新",347558,"影视,财经","满江红背后谁是最大赢家"
,"胡鑫宇尸检已完成","#胡鑫宇尸检已完成#","",346729,"社会新闻","胡鑫宇尸检已完成"
,"君子盟","君子盟","新",272937,"影视","君子盟"
,"朴宝剑签约YG旗下厂牌","#朴宝剑签约YG旗下厂牌#","",256892,"艺人","朴宝剑签约YG旗下厂牌"
,"法医解读胡鑫宇案件","#法医解读胡鑫宇案件#","",256770,"社会新闻","法医解读胡鑫宇案件"
,"胡鑫宇遗体发现地树林丛生","#胡鑫宇遗体发现地树林丛生#","",255898,"社会新闻","胡鑫宇遗体发现地树林丛生"
,"满江红7天为光线传媒贡献7000万营收","#满江红7天为光线传媒贡献7000万营收#","",249098,"影视,财经","满江红7天为光线传媒贡献7000万营收"
,"王鹤棣黑色飞行夹克机场出发路透","#王鹤棣黑色飞行夹克机场出发路透#","新",238781,"作品衍生","王鹤棣黑色飞行夹克机场出发路透"
,"亲历者讲述胡鑫宇搜救过程","#亲历者讲述胡鑫宇搜救过程#","新",238745,"社会新闻","亲历者讲述胡鑫宇搜救过程"
,"妈妈追狂飙问儿子唐小龙结局","#妈妈追狂飙问儿子唐小龙结局#","",208294,"影视","妈妈追狂飙问儿子唐小龙结局"
,"周深为啥什么音域都能唱","#周深为啥什么音域都能唱#","新",202093,"作品衍生","周深为啥什么音域都能唱"
,"你是我的永恒星辰定档0203","#你是我的永恒星辰定档0203#","新",201312,"影视","你是我的永恒星辰定档0203"
,"贪官傅国平老家查抄现场曝光","#贪官傅国平老家查抄现场曝光#","",200904,"社会新闻","贪官傅国平老家查抄现场曝光"
,"YG新女团成员李茶仁公开","#YG新女团成员李茶仁公开#","",193649,"艺人","YG新女团成员李茶仁公开"
,"在大城租房还是小城买房","#在大城租房还是小城买房#","",187637,"社会新闻","在大城租房还是小城买房"
