"recordTime","hotArr.word","hotArr.word_scheme","hotArr.label_name","hotArr.num","hotArr.category","hotArr.note"
"1675906825267","张大大连麦的女网友疑似被家暴","#张大大连麦的女网友疑似被家暴#","热",1824539,"社会新闻,艺人","张大大连麦的女网友疑似被家暴"
,"唐小强","#唐小强#","新",1171734,"社会新闻","唐小强"
,"1分钟感受春天的生机活力","#1分钟感受春天的生机活力#","",1168276,"社会新闻","1分钟感受春天的生机活力"
,"刘亚仁涉嫌吸毒","#刘亚仁涉嫌吸毒#","沸",1167621,"社会新闻,艺人","刘亚仁涉嫌吸毒"
,"安欣再现红色高跟鞋名场面","#安欣再现红色高跟鞋名场面#","热",1108626,"影视","安欣再现红色高跟鞋名场面"
,"迪士尼计划裁员7000人","#迪士尼计划裁员7000人#","新",872819,"旅游,财经","迪士尼计划裁员7000人"
,"异丙酚","异丙酚","",866861,"社会新闻,艺人","异丙酚"
,"湖人发生内讧","#湖人发生内讧#","新",817715,"体育","湖人发生内讧"
,"北京下雪","北京下雪","新",693713,"社会新闻","北京下雪"
,"中国救援队从土耳其废墟救出一名孕妇","#中国救援队从土耳其废墟救出一名孕妇#","",643848,"社会新闻","中国救援队从土耳其废墟救出一名孕妇"
,"笔直铁轨因强震几乎弯成90度","#笔直铁轨因强震几乎弯成90度#","新",617328,"社会新闻","笔直铁轨因强震几乎弯成90度"
,"谷歌AI犯错致市值一夜蒸发7172亿","#谷歌AI犯错致市值一夜蒸发7172亿#","新",616596,"科技","谷歌AI犯错致市值一夜蒸发7172亿"
,"土耳其地震已致12391人死亡","#土耳其地震已致12391人死亡#","新",598562,"社会新闻","土耳其地震已致12391人死亡"
,"黑暗荣耀2正式前导预告","#黑暗荣耀2正式前导预告#","新",544114,"影视","黑暗荣耀2正式前导预告"
,"hanni","hanni","",539065,"艺人","hanni"
,"韩国规定异丙酚只能用于特殊治疗","#韩国规定异丙酚只能用于特殊治疗#","新",479259,"社会新闻","韩国规定异丙酚只能用于特殊治疗"
,"母亲废墟中诞下女婴后离世","#母亲废墟中诞下女婴后离世#","",475498,"社会新闻","母亲废墟中诞下女婴后离世"
,"日本一沙滩惊现大量沙丁鱼","#日本一沙滩惊现大量沙丁鱼#","",473289,"社会新闻","日本一沙滩惊现大量沙丁鱼"
,"2022年度退补税怎么办理","#2022年度退补税怎么办理#","",454524,"财经,社会新闻","2022年度退补税怎么办理"
,"武汉医保改革重大调整","#武汉医保改革重大调整#","新",427736,"社会新闻","武汉医保改革重大调整"
,"林晓峰的内衣自带加热棒","#林晓峰的内衣自带加热棒#","热",417438,"综艺","林晓峰的内衣自带加热棒"
,"男子车祸现场未撤离被撞飞下桥","#男子车祸现场未撤离被撞飞下桥#","",416861,"社会新闻","男子车祸现场未撤离被撞飞下桥"
,"陈妍希只看了梦华录前十集","#陈妍希只看了梦华录前十集#","",385173,"综艺","陈妍希只看了梦华录前十集"
