"recordTime","hotArr.word","hotArr.word_scheme","hotArr.label_name","hotArr.num","hotArr.category","hotArr.note"
"1675993450768","唐小强确认遇难","#唐小强确认遇难#","爆",8063331,"社会新闻,艺人","唐小强确认遇难"
,"金韩一","金韩一","",1324624,"社会新闻,艺人","金韩一"
,"强信心稳经济促发展","#强信心稳经济促发展#","",1209877,"国内要闻","强信心稳经济促发展"
,"唐小强被搜救到时已遇难","#唐小强被搜救到时已遇难#","新",1190110,"社会新闻,艺人","唐小强被搜救到时已遇难"
,"狂飙剧中李响杯子掉落是无心的","#狂飙剧中李响杯子掉落是无心的#","新",1095520,"影视","狂飙剧中李响杯子掉落是无心的"
,"韩明起恢复发放中国公民短期签证","#韩明起恢复发放中国公民短期签证#","新",1000965,"国外要闻,旅游","韩明起恢复发放中国公民短期签证"
,"垚组合再也聚不齐了","垚组合再也聚不齐了","新",953999,"社会新闻,艺人","垚组合再也聚不齐了"
,"华波波","华波波","新",842586,"社会新闻,艺人","华波波"
,"李秀满方时赫发表共同立场","#李秀满方时赫发表共同立场#","新",785823,"艺人","李秀满方时赫发表共同立场"
,"非正式会谈","非正式会谈","沸",626095,"社会新闻,综艺","非正式会谈"
,"男孩身体不适7次举手后身亡","#男孩身体不适7次举手后身亡#","热",617375,"社会负面,教育","男孩身体不适7次举手后身亡"
,"韩国维持对自中国入境者的防疫措施","#韩国维持对自中国入境者的防疫措施#","新",536687,"国外要闻,旅游","韩国维持对自中国入境者的防疫措施"
,"HYBE将成为SMTOWN最大股东","#HYBE将成为SMTOWN最大股东#","",516049,"艺人","HYBE将成为SMTOWN最大股东"
,"非正式会谈oo","非正式会谈oo","新",443365,"社会新闻,综艺","非正式会谈oo"
,"2岁娃咳嗽50天查出硬币卡喉","#2岁娃咳嗽50天查出硬币卡喉#","",430548,"社会新闻","2岁娃咳嗽50天查出硬币卡喉"
,"陈楚生拒绝快乐再出发内讧","#陈楚生拒绝快乐再出发内讧#","热",428943,"综艺","陈楚生拒绝快乐再出发内讧"
,"1分钟看懂ChatGPT是啥","#1分钟看懂ChatGPT是啥#","",415398,"科技,社会新闻","1分钟看懂ChatGPT是啥"
,"萨沙","萨沙","新",409686,"社会新闻,艺人","萨沙"
,"哪些职业容易被人工智能代替","#哪些职业容易被人工智能代替#","新",399588,"科技,社会新闻","哪些职业容易被人工智能代替"
,"土耳其强震已造成17674人死亡","#土耳其强震已造成17674人死亡#","新",393693,"社会新闻","土耳其强震已造成17674人死亡"
,"C罗沙特超大四喜","#C罗沙特超大四喜#","",389392,"体育","C罗沙特超大四喜"
,"狂飙陈书婷到底美在哪里","#狂飙陈书婷到底美在哪里#","",373666,"影视","狂飙陈书婷到底美在哪里"
,"陈卓璇卡点为张艺凡庆生","#陈卓璇卡点为张艺凡庆生#","新",345242,"艺人","陈卓璇卡点为张艺凡庆生"
,"中国救援队成功营救出第3名幸存者","#中国救援队成功营救出第3名幸存者#","",344668,"社会新闻","中国救援队成功营救出第3名幸存者"
,"上海月最低工资全国最高","#上海月最低工资全国最高#","",310889,"财经","上海月最低工资全国最高"
,"曾舜晞陈都灵牵手同框路透","#曾舜晞陈都灵牵手同框路透#","新",298792,"影视","曾舜晞陈都灵牵手同框路透"
,"重庆一女子称开锁广告被贴家门里面","#重庆一女子称开锁广告被贴家门里面#","",291911,"社会新闻","重庆一女子称开锁广告被贴家门里面"
